source,target,route,travel_time,n_trips
191,192,C,90,673
191,192,E,90,1235
192,30,L,90,1354
192,190,A,180,922
192,191,A,90,189
192,191,C,90,673
192,191,E,90,1235
192,193,A,120,1111
192,193,C,120,673
192,193,E,120,1235
193,30,F,90,1179
193,30,FX,90,10
193,30,M,90,815
193,148,B,120,515
193,148,D,120,916
193,148,F,150,1179
193,148,FX,150,10
193,148,M,150,815
193,192,A,120,1111
193,192,C,120,673
193,192,E,120,1235
193,194,A,90,185
193,194,C,90,673
193,194,E,90,1235
193,195,A,150,926
193,247,B,180,515
193,247,D,180,916
194,193,A,120,189
194,193,C,120,673
194,193,E,120,1235
194,195,A,90,185
194,195,C,90,673
194,195,E,90,1235
195,63,A,120,1111
195,63,C,120,673
195,63,E,120,1235
195,193,A,150,922
195,194,A,90,189
195,194,C,90,673
195,194,E,90,1235
196,64,A,180,1111
196,64,C,180,673
196,197,A,120,1111
196,197,C,120,673
197,67,N,90,155
197,67,R,90,926
197,67,W,120,10
197,196,A,120,1111
197,196,C,120,673
197,198,A,90,1111
197,198,C,90,673
197,279,F,90,1179
197,279,FX,90,10
197,280,F,150,1179
197,284,FX,420,10
197,410,N,90,149
197,410,R,90,921
197,410,W,120,15
198,197,A,90,1111
198,197,C,90,673
198,199,A,120,190
198,199,C,120,673
198,202,A,270,921
198,280,G,90,986
198,323,G,90,984
199,198,A,90,189
199,198,C,90,673
199,200,A,90,190
199,200,C,90,673
200,199,A,90,189
200,199,C,90,673
200,201,A,90,190
200,201,C,90,673
201,200,A,90,189
201,200,C,90,673
201,202,A,60,190
201,202,C,60,673
201,422,FS,120,802
202,198,A,300,922
202,201,A,60,189
202,201,C,60,673
202,203,A,120,190
202,203,C,90,673
202,204,A,120,921
203,202,A,90,189
203,202,C,90,673
203,204,A,90,190
203,204,C,90,673
204,202,A,180,922
204,203,A,90,189
204,203,C,90,673
204,205,A,120,190
204,205,C,120,673
204,207,A,180,921
205,204,A,90,189
205,204,C,90,673
205,206,A,90,190
205,206,C,90,673
206,205,A,120,189
206,205,C,90,673
206,207,A,90,190
206,207,C,90,673
207,204,A,180,922
207,206,A,60,189
207,206,C,60,673
207,208,A,120,190
207,208,C,120,673
207,211,A,240,921
207,349,J,90,874
207,349,Z,90,30
207,350,J,90,849
207,350,Z,60,30
207,351,J,150,35
207,366,L,60,1477
207,367,L,60,1457
208,207,A,120,189
208,207,C,120,673
208,209,A,90,190
208,209,C,90,673
209,208,A,90,189
209,208,C,90,673
209,210,A,90,190
209,210,C,90,673
210,209,A,90,189
210,209,C,90,673
210,211,A,90,190
210,211,C,90,673
211,207,A,240,922
211,210,A,90,189
211,210,C,90,673
211,212,A,90,1248
212,211,A,90,1228
212,213,A,90,1248
213,212,A,60,1228
213,214,A,60,1248
214,213,A,60,1228
214,215,A,60,1248
215,214,A,60,1228
215,216,A,90,616
215,325,A,240,632
216,215,A,90,614
216,217,A,90,616
217,216,A,60,614
217,218,A,60,616
218,217,A,60,614
219,159,F,360,1179
219,159,FX,360,10
219,220,F,120,1179
219,220,FX,120,10
220,219,F,120,1179
220,219,FX,120,10
220,221,F,150,1179
220,221,FX,150,10
221,220,F,150,1179
221,220,FX,150,10
221,222,F,150,1179
221,222,FX,150,10
221,222,M,180,240
221,393,M,120,240
221,393,Q,120,1087
221,393,R,120,5
221,403,N,180,30
221,403,Q,180,1062
222,221,F,150,1179
222,221,FX,210,10
222,221,M,180,240
222,246,F,90,1179
222,246,FX,90,10
222,246,M,90,240
223,224,D,120,916
223,414,D,240,916
224,223,D,120,916
224,225,D,90,916
225,224,D,90,916
225,226,D,90,916
226,225,D,90,916
226,227,D,90,916
227,226,D,90,916
227,228,D,120,916
227,386,N,120,896
227,386,Q,120,30
227,386,W,120,10
227,387,N,90,921
227,387,W,90,15
228,227,D,120,916
228,229,D,90,916
229,228,D,90,916
229,230,D,90,916
230,229,D,90,916
230,231,D,90,916
231,230,D,60,916
231,232,D,60,916
232,231,D,60,916
232,233,D,90,916
233,232,D,90,916
233,234,D,120,916
234,233,D,120,916
234,267,D,240,916
235,236,D,120,911
236,235,D,150,901
236,237,B,120,210
236,237,D,90,916
237,236,B,120,165
237,236,D,120,916
237,238,B,120,210
237,238,D,60,916
238,237,B,90,180
238,237,D,90,916
238,239,B,90,210
238,239,D,90,811
238,240,D,150,105
239,238,B,90,165
239,238,D,90,826
239,240,B,90,210
239,240,D,90,811
240,179,D,450,105
240,238,B,210,15
240,238,D,150,90
240,239,B,90,165
240,239,D,90,826
240,241,B,90,210
240,241,D,90,811
241,240,B,90,180
241,240,D,90,826
241,242,B,150,210
241,242,D,150,811
242,241,B,120,180
242,241,D,120,826
242,243,B,120,210
242,243,D,120,811
243,105,B,150,210
243,105,D,150,811
243,242,B,120,180
243,242,D,120,826
244,105,B,90,180
244,105,D,90,826
244,179,B,90,210
244,179,D,90,811
245,23,B,120,515
245,23,D,90,916
245,189,E,90,1235
245,246,B,90,515
245,246,D,90,916
245,275,E,60,1235
246,170,B,90,515
246,170,D,90,916
246,170,F,90,1179
246,170,FX,90,10
246,170,M,90,815
246,222,F,90,1179
246,222,FX,120,10
246,222,M,90,240
246,245,B,90,515
246,245,D,90,916
246,275,M,120,575
247,25,N,90,896
247,25,Q,90,1087
247,25,R,90,786
247,25,W,120,485
247,146,N,150,580
247,146,Q,150,914
247,170,B,90,515
247,170,D,90,916
247,170,F,90,1179
247,170,FX,90,10
247,170,M,90,815
247,193,B,180,515
247,193,D,180,916
247,248,F,90,1179
247,248,FX,120,10
247,248,M,90,815
247,405,N,60,341
247,405,Q,60,148
247,405,R,60,781
247,405,W,60,490
248,30,F,90,1179
248,30,FX,90,10
248,30,M,90,815
248,247,F,90,1179
248,247,FX,120,10
248,247,M,90,815
249,70,D,630,724
249,148,B,120,515
249,148,D,120,916
249,410,B,480,515
249,410,D,480,192
250,70,B,120,515
250,70,Q,120,1057
250,251,B,240,515
250,251,Q,240,1062
251,74,FS,180,802
251,250,B,210,515
251,250,Q,210,1057
251,252,Q,90,1062
251,253,B,120,515
252,251,Q,90,1057
252,253,Q,60,1062
253,251,B,120,515
