source,target,route_id,travel_time
603,434,2,120
603,434,5,90
603,434,5X,120
603,438,2,180
603,604,4,90
604,218,B,150
604,218,D,150
604,220,B,90
604,220,D,90
604,388,4,90
604,603,4,150
605,147,A,120
605,149,A,90
605,149,C,60
605,301,1,120
605,303,1,90
606,273,E,90
606,273,M,90
606,282,G,60
606,461,7,90
606,461,7X,90
606,463,7,90
606,463,7X,90
606,612,E,180
606,612,M,180
607,13,N,60
607,13,Q,60
607,13,R,60
607,13,W,60
607,167,B,180
607,167,D,180
607,228,F,90
607,228,FX,120
607,228,M,90
607,609,B,90
607,609,D,90
607,609,F,90
607,609,FX,90
607,609,M,90
607,611,N,90
607,611,Q,90
607,611,R,90
607,611,W,120
608,28,D,90
608,28,N,90
608,28,R,90
608,28,W,90
608,30,D,120
608,30,N,120
608,30,R,120
608,30,W,120
608,238,F,90
608,238,G,90
608,240,F,90
608,240,G,90
609,225,B,90
609,225,D,90
609,225,F,90
609,225,FX,120
609,225,M,90
609,607,B,90
609,607,D,90
609,607,F,90
609,607,FX,90
609,607,M,90
609,610,7,60
609,610,7X,90
609,611,7,90
609,611,7X,90
610,403,4,120
610,403,6,120
610,403,6X,120
610,464,7,270
610,464,7X,270
610,602,5,240
610,609,7,90
610,609,7X,90
610,611,GS,90
610,612,4,90
610,612,6,90
610,612,6X,120
610,613,5,120
610,613,5X,150
611,10,N,90
611,10,Q,90
611,10,R,90
611,10,W,120
611,162,A,90
